Movi Live Data
2013-01-23  21:02:02

Time(seconds)	Horse Power
424.648228	45.29
425.978878	44.86
427.354437	47.06
428.742430	43.19
430.099893	38.16
431.487120	31.26
432.814959	29.63
434.145897	19.13
435.511161	11.8
436.839942	0
438.169574	0
439.495898	0
440.836910	0
442.207572	0
443.565414	0
444.924961	0
446.279428	0
447.643828	0
449.006930	5.8
450.388329	21.6
451.722398	35.65
453.062374	54.17
454.400134	62.64
455.732138	62.99
457.068227	55.71
458.426165	46.8
459.814161	22.65
461.140479	0
462.476016	0
463.826421	0
465.137871	0
466.473971	2.7
467.805856	16.08
469.131302	26.93
470.479469	32.61
471.803502	21.48
473.157005	2.7
474.538354	0
475.902739	0
477.239589	0
478.606695	0
479.937577	0
481.290537	0
482.621120	0
483.977242	0
485.330488	0
486.693671	0
488.117311	0
489.474383	0
490.808757	0
492.147417	0
493.561156	0
494.897862	0
496.266611	0
497.599572	0
498.938819	0
500.258835	0
501.624656	2.4
502.955343	4.8
504.311938	7.2
505.690758	4.8
507.023398	2.4
508.390236	2.4
509.740602	7.3
511.072508	17.44
512.407800	9.9
513.835147	2.4
515.196472	0
516.567844	0
517.930553	0
519.280326	0
520.670013	0
522.052094	0
523.372717	0
524.698179	0
526.039130	2.3
527.375942	2.4
528.744432	0
530.104634	0
531.447867	0
532.789286	0
534.167016	0
535.521086	0
536.876179	0
538.206866	0
539.562675	0
540.897004	2.3
542.229458	13.93
543.566655	23.59
544.921736	35.77
546.254738	44.61
547.588495	43.18
548.937351	25.25
550.306284	0
551.669526	0
553.003238	0
554.362187	0
555.715602	0
557.059629	0
558.376390	0
559.733594	0
561.063457	0
562.398226	0
563.734633	0
565.100278	0
566.470269	0
567.864637	0
569.229134	0
570.555256	0
571.945396	0
573.291287	0
574.637826	0
576.001957	0
577.338886	0
578.728873	0
580.058519	0
581.412084	0.59
582.771635	7.6
584.165374	19.24
585.531010	29
586.855956	40.65
588.187972	52.21
589.512505	53.82
590.870074	51.15
592.231768	45.15
593.567353	37.15
594.952955	28.74
596.296552	20.36
597.662003	11.47
598.991310	7.8
600.310261	3.9
601.688546	2
603.025636	2
604.399672	0
605.772804	0
607.170280	2
608.514214	0
609.845930	2
611.174105	4
612.555507	4
613.889806	2.1
615.244630	4.1
616.572596	4.1
617.966092	6.2
619.352563	8.3
620.781504	4
622.105645	2
623.447976	0
624.769109	0
626.113562	0
627.460969	0
628.799061	0
630.138618	0
631.468582	0
632.836416	0
634.164759	0
635.504537	2.1
636.834685	4.1
638.172846	6.2
639.508283	8.3
640.904754	4.1
642.262476	2
643.573220	0
644.940067	0
646.287504	0
647.620473	0
648.969607	0
650.326218	2.1
651.726491	0
653.061577	0
654.418024	0
655.779864	0
657.115944	0
658.464090	0
659.824389	2
661.179079	4.1
662.522370	8.3
663.841812	8.4
665.179427	10.56
666.515202	8.5
667.894628	8.6
669.229553	8.7
670.580380	4.3
671.938736	2.2
673.303741	0
674.672614	0
676.027316	0
677.394560	0
678.767634	0
680.137641	0
681.504219	0
682.841152	0
684.186673	0
685.522045	0
686.885892	0
688.233445	0
689.619748	0
690.949641	0
692.316067	0
693.734548	0
695.086998	0
696.437033	0
697.797112	0
699.157480	0
700.536691	0
701.928088	0
703.271256	0
704.608961	0
705.980520	0
707.316514	0
708.691468	0
710.019983	0
711.416306	0
712.746648	0
714.136818	0
715.472248	0
716.822425	0
718.157820	0
719.509737	0
720.840399	0
722.195639	0
723.524199	0
724.858494	0
726.190731	0
727.554704	0
728.878499	0
730.252652	0
731.634898	0
733.002389	0
734.340871	0
735.732704	0
737.066867	0
738.425288	0
739.758331	0
741.093776	0
742.457322	0
743.818590	0
745.182687	0
746.513805	0
747.863954	0
749.221354	0
750.556170	0
751.944546	0
753.308437	0
754.672062	0
756.028766	0
757.401993	0
758.743912	0
760.097083	0
761.462158	0
762.852907	0
764.212594	0
765.571310	0
766.906610	0
768.269194	0.3
769.666248	4.8
771.002391	11.62
772.336096	20.42
773.672395	29.15
775.059094	36.3
776.427936	40.33
777.773635	39.6
779.112649	37.31
780.451328	33.72
781.787105	29.91
783.174972	25.01
784.514186	22.66
785.881132	17.98
787.240305	12.79
788.591355	9.2
789.954651	5.7
791.316636	3.8
792.710342	7.8
794.071613	9.8
795.435834	9.8
796.798620	9.8
798.167179	7.9
799.532173	2
800.924644	2
802.252208	2
803.584801	2
804.911784	4.1
806.282544	6.2
807.647088	4.2
808.990945	6.3
810.321828	6.3
811.658787	4.2
812.998580	2.1
814.355533	0
815.680247	0
817.009325	0
818.378052	0
819.726614	0
821.062370	0
822.405840	2.1
823.760021	2.1
825.104795	2.1
826.490734	0
827.830038	0
829.183589	0
830.542824	0
831.900646	0
833.241324	0
834.575991	0
835.962249	0
837.291305	0
838.648700	0
839.983935	2.1
841.349511	8.2
842.685715	8.2
844.046897	8.2
845.427828	6.2
846.761394	4.1
848.094062	0
849.423674	0
850.794366	0
852.118573	0
853.447492	0
854.807038	0
856.144426	0
857.511547	0
858.870607	2.1
860.201268	4.2
861.544188	4.2
862.906368	6.4
864.234164	4.2
865.568605	8.7
866.901293	20.4
868.263156	22.72
869.598886	13.56
870.968859	8.8
872.350731	2.2
873.682177	0
875.007517	0
876.344078	0
877.733116	0
879.079215	0
880.468977	0
881.832231	0
883.166367	0
884.527878	0
885.890549	0
887.229499	0
888.598265	4.1
889.973041	8.2
891.306304	10.37
892.684082	10.44
894.046672	10.4
895.375058	4.2
896.701556	0
898.068641	0
899.394705	0
900.736352	4.4
902.093294	15.66
903.435880	27.24
904.771281	32.26
906.103620	30.09
907.442485	21.08
908.776600	9.6
910.133036	0
911.494439	0
912.901572	0
914.229275	0
915.564671	0
916.899049	0
918.304651	0
919.698487	0
921.030801	0
922.396751	2.3
923.729423	14
925.065221	18.85
926.450681	14.02
927.797817	13.81
929.191707	4.8
930.557018	0
931.885077	0
933.219427	2.4
934.580303	2.4
935.960737	0
937.299334	0
938.683786	0
940.043318	0
941.390240	2.4
942.754117	0
944.108475	0
945.471787	0
946.819549	0
948.153726	0
949.484649	0
950.845926	0
952.204219	0
953.558460	0
954.920757	0
956.301132	0
957.675676	0
959.037383	0
960.392413	0
961.720468	0
963.074456	0
