Movi Live Data
2013-01-23  21:02:01

Time(seconds)	 Percent
889.939891	21
891.275870	21
892.656956	18
894.021070	17
895.346837	14
896.671429	16
898.037574	17
899.369875	19
900.707160	35
902.067763	36
903.403407	41
904.737592	21
906.074650	21
907.417142	19
908.744424	19
910.103263	21
911.468871	21
912.876085	20
914.197418	17
915.534173	15
916.872651	15
918.279322	18
919.671503	14
920.998217	21
922.368618	39
923.700714	21
925.035930	14
926.422853	14
927.767560	20
929.159388	22
930.530739	22
931.855267	22
933.190139	23
934.547150	18
935.934302	21
937.266396	21
938.654840	22
940.010729	23
941.357278	18
942.721723	15
944.079985	28
945.445686	18
946.794336	18
948.122986	28
949.458461	17
950.814323	14
952.172657	14
953.533165	14
954.895257	14
956.270950	14
957.648738	14
959.005446	14
960.362045	14
961.694540	14
963.049016	14
