Movi Live Data
2013-01-23  21:02:02

Time(seconds)	rpm
407.870222	2624
409.243809	1702
410.614571	1496
411.945057	1329
413.274116	1277
414.606024	1012
415.962645	1177
417.321057	1427
418.696229	1533
420.035619	2107
421.369572	2986
422.727599	3579
424.086777	3037
425.424426	2144
426.774381	2124
428.153951	2361
429.519360	2560
430.900168	2574
432.264153	1286
433.589931	1154
434.949288	1166
436.289115	1122
437.615760	1091
438.945953	1052
440.276053	998
441.615616	1561
443.009917	1522
444.370826	1467
445.698876	1893
447.085660	2653
448.447139	2704
449.806758	2759
451.166310	3369
452.500560	3993
453.841082	4288
455.181907	4432
456.509759	3234
457.859224	2312
459.241854	2142
460.587942	2097
461.916826	2060
463.273355	2049
464.597144	2039
465.912252	2085
467.247851	2738
468.579637	3360
469.930325	2493
471.249332	2245
472.600900	2190
473.959887	2134
475.347265	2076
476.681584	2053
478.047643	2050
479.375357	2050
480.743826	2055
482.064217	2025
483.398587	2108
484.755658	2009
486.129092	1991
487.525859	1964
488.917652	1960
490.251567	1953
491.590109	1949
492.976712	1944
494.339795	1909
495.706608	1886
497.049505	1877
498.378636	1883
499.712357	1898
501.032950	1911
502.396263	1927
503.762769	1941
505.112617	1937
506.464627	1932
507.798395	1934
509.164873	3742
510.521041	4378
511.847854	3819
513.242148	1860
514.636396	1926
516.004760	1912
517.342332	1910
518.730566	1891
520.087893	1883
521.447647	1893
522.822466	1891
524.145488	1901
525.474974	1912
526.821257	1900
528.155117	1886
529.545436	1869
530.887747	1866
532.229502	1858
533.589626	1846
534.971120	1828
536.323563	1797
537.648494	1768
538.982861	1783
540.337263	1816
541.677585	1878
543.008317	1933
544.365677	3211
545.697601	3328
547.032917	3392
548.383815	1903
549.716537	1726
551.109335	1474
552.444864	1158
553.804249	1036
555.162367	1002
556.491274	875
557.831571	845
559.179222	751
560.506093	738
561.839842	873
563.174651	684
564.508527	699
565.909352	704
567.272913	697
568.670418	693
570.004370	698
571.385739	690
572.746355	682
574.095643	684
575.444493	682
576.776835	688
578.169354	683
579.508197	690
580.854726	899
582.212810	2281
583.577721	3460
584.947651	2939
586.306015	3467
587.629780	3943
588.962029	3004
590.314249	3186
591.671922	3219
593.009153	2510
594.370489	2413
595.732402	2229
597.104193	1609
598.439534	1608
599.763152	1606
601.106974	1613
602.465978	1618
603.825156	1619
605.204766	1622
606.580432	1621
607.955058	1624
609.290822	1633
610.621605	1638
612.001478	1644
613.331949	1636
614.692570	2345
616.026091	2364
617.406078	2365
618.798735	2367
620.175382	1970
621.555634	1768
622.888111	1671
624.219615	1663
625.567167	1653
626.887585	1647
628.237903	1643
629.576874	1614
630.914002	1607
632.244898	1614
633.612818	1617
634.942698	1623
636.280844	1645
637.610526	1661
638.950343	1668
640.309548	1676
641.707600	1660
643.029812	1652
644.375242	1641
645.738164	1639
647.063158	1643
648.420094	1656
649.766613	1673
651.159902	1663
652.503198	1647
653.863483	1654
655.218693	1643
656.554585	1628
657.889406	1642
659.244409	1657
660.596178	1674
661.960148	1690
663.293935	1711
664.617787	1726
665.954041	1745
667.314707	1756
668.673495	1768
670.002877	1774
671.381249	1768
672.716267	1756
674.090455	1737
675.451466	1714
676.839259	1694
678.176626	1691
679.563383	1690
680.947508	1685
682.286532	1686
683.619475	1674
684.961832	1604
686.299603	1521
687.657434	1448
689.033830	1364
690.398603	1227
691.728028	1036
693.148315	860
694.510895	931
695.884272	758
697.239855	671
698.605117	742
699.959724	699
701.338932	694
702.710935	697
704.057592	692
705.387082	695
706.757771	696
708.117530	671
709.466396	670
710.828721	677
712.187214	683
713.543545	683
714.917287	693
716.271674	687
717.606146	690
718.933145	689
720.281290	688
721.636092	689
722.972118	686
724.302619	679
725.631413	684
726.993622	686
728.327177	679
729.681326	687
731.028641	679
732.438729	685
733.785039	679
735.119446	686
736.509826	684
737.843412	676
739.197194	687
740.537096	669
741.897638	673
743.263175	683
744.595618	679
745.959801	682
747.291008	716
748.667862	682
749.996036	677
751.388029	679
752.742498	680
754.115876	683
755.455634	680
756.839024	680
758.186738	677
759.548151	676
760.877852	682
762.260402	684
763.656854	683
765.010929	684
766.346567	680
767.715142	813
769.077285	1860
770.446251	2774
771.781439	2471
773.111784	2912
774.470834	3291
775.840534	2592
777.211645	2651
778.553100	2229
779.891064	2188
781.229382	2210
782.564496	2170
783.959686	1506
785.295189	1541
786.659116	1562
788.018209	1551
789.395038	1540
790.756777	1529
792.125139	1593
793.488823	1631
794.855704	1639
796.240351	1638
797.604364	1633
798.943719	1641
800.334619	1653
801.702004	1655
803.029348	1665
804.363985	1676
805.688878	1688
807.085175	1699
808.427452	1713
809.767524	1727
811.100975	1727
812.437308	1722
813.800960	1707
815.129532	1702
816.458743	1709
817.787778	1712
819.176363	1701
820.503581	1708
821.843736	1712
823.209565	1724
824.542298	1727
825.908820	1724
827.270278	1700
828.627842	1690
829.986559	1683
831.341261	1663
832.680312	1641
834.018328	1627
835.408912	1611
836.734580	1605
838.090480	1610
839.427581	1636
840.764354	1670
842.125716	1688
843.484842	1711
844.846581	1690
846.202935	1686
847.538609	1690
848.864497	1686
850.230552	1686
851.564538	1690
852.895729	1686
854.218728	1688
855.584771	1689
856.930104	1685
858.311946	1699
859.643341	1709
860.984763	1728
862.345755	1735
863.679866	1736
865.012662	2983
866.342545	3980
867.701241	4088
869.041318	2399
870.381720	1886
871.800363	1801
873.123299	1788
874.452371	1781
875.782377	1773
877.169477	1745
878.521059	1727
879.876471	1694
881.273402	1662
882.604554	1642
883.968418	1625
885.332029	1638
886.667273	1645
888.031988	1665
889.375800	1684
890.751337	1705
892.111286	1733
893.490115	1740
894.821589	1743
896.146657	1717
897.480469	1708
898.844130	1706
900.177108	1755
901.533201	2579
902.874339	2635
904.215938	3160
905.546194	2150
906.880793	2137
908.218864	1948
909.575103	1936
910.938654	1944
912.347809	1941
913.672217	1923
915.005665	1896
916.341447	1867
917.724469	1829
919.111360	1819
920.473358	1803
921.837139	2842
923.175115	3013
924.505525	2100
925.843544	1951
927.238732	1924
928.602104	1966
929.973318	1939
931.330738	1945
932.659968	1947
934.019053	1956
935.384065	1945
936.738560	1947
938.131580	1947
939.490605	1950
940.823791	1961
942.192203	1921
