Movi Live Data
2013-01-23  21:02:02

Time(seconds)	lb-ft
764.212594	0
765.571310	0
766.906610	0
768.269194	0.9
769.666248	10.01
771.002391	22.54
772.336096	38.27
773.672395	47.74
775.059094	74.85
776.427936	79.24
777.773635	89.29
779.112649	85.13
780.451328	87.23
781.787105	71.36
783.174972	85.14
784.514186	77.83
785.881132	60.84
787.240305	43.34
788.591355	31.46
789.954651	18.95
791.316636	12.65
792.710342	25.18
794.071613	31.51
795.435834	31.32
796.798620	31.43
798.167179	25.14
799.532173	6.5
800.924644	6.4
802.252208	6.4
803.584801	6.4
804.911784	12.9
806.282544	19.25
807.647088	12.9
808.990945	19.26
810.321828	19.23
811.658787	12.86
812.998580	6.5
814.355533	0
815.680247	0
817.009325	0
818.378052	0
819.726614	0
821.062370	0
822.405840	6.5
823.760021	6.4
825.104795	6.5
826.490734	0
827.830038	0
829.183589	0
830.542824	0
831.900646	0
833.241324	0
834.575991	0
835.962249	0
837.291305	0
838.648700	0
839.983935	6.5
841.349511	25.46
842.685715	25.59
844.046897	25.47
845.427828	19.21
846.761394	12.81
848.094062	0
849.423674	0
850.794366	0
852.118573	0
853.447492	0
854.807038	0
856.144426	0
857.511547	0
858.870607	6.5
860.201268	12.86
861.544188	12.82
862.906368	19.24
864.234164	8.7
865.568605	11.65
866.901293	26.36
868.263156	45.62
869.598886	43.02
870.968859	25.36
872.350731	6.6
873.682177	0
875.007517	0
876.344078	0
877.733116	0
879.079215	0
880.468977	0
881.832231	0
883.166367	0
884.527878	0
885.890549	0
887.229499	0
888.598265	12.84
889.973041	25.37
891.306304	31.48
892.684082	31.55
894.046672	31.1
895.375058	12.87
896.701556	0
898.068641	0
899.394705	0
900.736352	9
902.093294	31.58
903.435880	45.73
904.771281	60.59
906.103620	72.79
907.442485	56.72
908.776600	25.92
910.133036	0
911.494439	0
912.901572	0
914.229275	0
915.564671	0
916.899049	0
918.304651	0
919.698487	0
921.030801	0
922.396751	4
923.729423	32.78
925.065221	50.59
926.450681	38.11
927.797817	36.75
929.191707	12.93
930.557018	0
931.885077	0
933.219427	6.5
934.580303	6.5
935.960737	0
937.299334	0
938.683786	0
940.043318	0
941.390240	6.5
942.754117	0
944.108475	0
945.471787	0
946.819549	0
948.153726	0
949.484649	0
950.845926	0
952.204219	0
953.558460	0
954.920757	0
956.301132	0
957.675676	0
959.037383	0
960.392413	0
961.720468	0
963.074456	0
